acid,SCN3,protein
PI219698,S,41.3
PI253651A,S,42.6
PI347550A,S,44.7
PI398807,S,42.8
PI408055A,S,46.7
PI408069,S,43.6
PI408169A,MS,45.8
PI408169B,S,45
PI416923,S,44.2
PI417472A,S,45.3
PI417508,S,43.9
PI417521,S,45.5
PI423734,S,45.6
PI423923,MS,41.9
PI424145,S,44.9
PI424159A,S,44.2
PI424241,S,45.5
PI424485,S,44.9
PI424549B,S,43.5
PI437196,S,45
PI437199,S,42
PI437619,S,45.8
PI437633A,S,43.4
PI437649B,S,42
PI437749,S,46.6
PI437833,S,44.5
PI437841,S,42.7
PI438229,S,41.9
PI438249B,S,46.4
PI438250B,S,46.6
PI438251,MS,42.3
PI438252A,S,42.9
PI438252C,S,42.7
PI438313,S,40.7
PI445825,S,39.4
PI458139,MS,43
PI458181,S,45.8
PI506560,S,42.5
PI506574,S,42
PI506575A,S,45.2
PI506711B,S,42.3
PI506847,S,42.4
PI506992,S,42.2
PI507344,S,42.1
PI507368,S,42.8
PI507541,S,42.3
PI509111,S,47
PI548449,S,45.4
PI549076A,,40.8
PI561348,,42.4
PI567433A,MS,46.4
PI567451,MS,40.6
PI567453,S,44.7
PI567518,S,47.8
PI567603A,MS,51.3
PI567679C,MS,49.5
PI567767C,,46.6
PI578386,,42.4
PI578485A,,43.6
PI587583B,,45.6
PI592948,,44.9
PI594245B,,42.2
PI594401B,,45.3
PI594461A,,46.7
PI594476,,42.1
PI594714,,45.1
PI594817,,46.3
PI594818,,47
PI594871,,47.1
PI605796,,
PI605844E,,41.9
PI605885C,,50.9
PI605886B,,43.1
PI606393,,
PI606430,,
PI612713B,,38.7
PI612726,,40.7
PI612742,,40.2
PI613559F,,
PI615467,,
PI615472,,
PI615481,,
PI632667,,
PI632944D,,
PI639528C,,
PI639546A,,
PI639558,,
PI639560B,,
PI639607,,
PI157401,S,41.1
PI174852,S,
PI184047,S,41.4
PI189941,S,38.4
PI196168,S,42.4
PI200462,S,52.4
PI229339,MS,39.8
PI238108,S,
PI241424,S,45.7
PI248404,S,43.3
